Rank,Player,Team,Position,Goals,Penalties
1,L. Martínez,Inter,Attaccante,14,0
2,T. Douvikas,Como,Attaccante,8,1
2,R. Højlund,Napoli,Attaccante,8,1
2,N. Paz,Como,Centrocampista,8,0
2,C. Pulisic,Milan,Centrocampista,8,0
2,K. Yildiz,Juventus,Attaccante,8,1
7,S. Castro,Bologna,Attaccante,7,0
7,K. Davis,Udinese,Attaccante,7,3
7,M. Kean,Fiorentina,Attaccante,7,2
7,N. Krstovic,Atalanta,Attaccante,7,0
7,G. Orban,Hellas Verona,Attaccante,7,2
7,R. Orsolini,Bologna,Attaccante,7,3
7,M. Pellegrino,Parma,Attaccante,7,1
7,M. Thuram,Inter,Attaccante,7,0
7,R. Leão,Milan,Attaccante,7,2
7,H. Çalhanoglu,Inter,Centrocampista,7,3
17,L. Colombo,Genoa,Attaccante,6,0
17,R. Mandragora,Fiorentina,Centrocampista,6,1
17,S. McTominay,Napoli,Centrocampista,6,0
17,G. Scamacca,Atalanta,Attaccante,6,2
17,M. Soulé,Roma,Attaccante,6,0
17,N. Vlasic,Torino,Centrocampista,6,3
23,D. Berardi,Sassuolo,Attaccante,5,2
23,F. Bonazzoli,Cremonese,Attaccante,5,1
23,A. Bonny,Inter,Attaccante,5,0
23,J. David,Juventus,Attaccante,5,0
23,F. Dimarco,Inter,Difensore,5,0
23,D. Malen,Roma,Attaccante,5,1
23,R. Malinovskyi,Genoa,Centrocampista,5,3
23,S. Moreo,Pisa,Attaccante,5,1
23,C. Nkunku,Milan,Attaccante,5,3
23,A. Pinamonti,Sassuolo,Attaccante,5,0
23,G. Simeone,Torino,Attaccante,5,0
23,J. Vardy,Cremonese,Attaccante,5,0
23,N. Zaniolo,Udinese,Centrocampista,5,0
23,P. Zielinski,Inter,Centrocampista,5,1
37,C. Adams,Torino,Attaccante,4,0
37,F. Anguissa,Napoli,Centrocampista,4,0
37,M. Baturina,Como,Centrocampista,4,0
37,K. De Bruyne,Napoli,Centrocampista,4,3
37,F. Pio Esposito,Inter,Attaccante,4,0
37,A. Gudmundsson,Fiorentina,Attaccante,4,3
37,S. Kiliçsoy,Cagliari,Attaccante,4,0
37,I. Koné,Sassuolo,Centrocampista,4,0
37,A. Laurienté,Sassuolo,Attaccante,4,0
37,W. McKennie,Juventus,Centrocampista,4,0
37,J. Odgaard,Bologna,Attaccante,4,0
37,A. Rabiot,Milan,Centrocampista,4,0
37,L. Østigård,Genoa,Difensore,4,0
50,J. Addai,Como,Attaccante,3,0
50,L. Banda,Lecce,Centrocampista,3,0
50,A. Bernabé,Parma,Centrocampista,3,0
50,G. Borrelli,Cagliari,Attaccante,3,0
50,N. Cambiaghi,Bologna,Attaccante,3,0
50,M. Cancellieri,Lazio,Attaccante,3,0
50,Vítinha,Genoa,Attaccante,3,0
50,C. Casadei,Torino,Centrocampista,3,0
50,D. Cataldi,Lazio,Centrocampista,3,2
50,C. De Ketelaere,Atalanta,Attaccante,3,0
50,A. Dovbyk,Roma,Attaccante,3,0
50,J. Ekkelenkamp,Udinese,Centrocampista,3,0
50,S. Esposito,Cagliari,Attaccante,3,0
50,E. Ferguson,Roma,Attaccante,3,0
50,Wesley,Roma,Difensore,3,0
50,G. Isaksen,Lazio,Attaccante,3,0
50,M. Oliver Kempf,Como,Difensore,3,0
50,F. Kostic,Juventus,Centrocampista,3,0
50,R. Loftus-Cheek,Milan,Centrocampista,3,0
50,D. Neres,Napoli,Attaccante,3,0
50,M. Nzola,Sassuolo,Attaccante,3,2
50,L. Pellegrini,Roma,Centrocampista,3,2
50,Pedro,Lazio,Attaccante,3,2
50,Giovane,Napoli,Attaccante,3,0
50,Bremer,Juventus,Difensore,3,0
50,O. Solet,Udinese,Difensore,3,1
50,L. Spinazzola,Napoli,Difensore,3,0
50,M. Thorsby,Cremonese,Centrocampista,3,0
50,D. Vlahovic,Juventus,Attaccante,3,1
50,M. Zaccagni,Lazio,Centrocampista,3,0
80,A. Atta,Udinese,Centrocampista,2,0
80,D. Bartesaghi,Milan,Difensore,2,0
80,F. Baschirotto,Cremonese,Difensore,2,0
80,R. Belghali,Hellas Verona,Difensore,2,0
80,A. Belotti,Cagliari,Attaccante,2,1
80,M. Berisha,Lecce,Centrocampista,2,0
80,Y. Bisseck,Inter,Difensore,2,0
80,M. Brescianini,Fiorentina,Centrocampista,2,0
80,J. Cabal,Juventus,Difensore,2,0
80,A. Cambiaso,Juventus,Difensore,2,0
80,V. Castellanos,Lazio,Attaccante,2,0
80,L. Coulibaly,Lecce,Centrocampista,2,0
80,P. Dybala,Roma,Attaccante,2,0
80,J. Ekhator,Genoa,Attaccante,2,0
80,C. Ekuban,Genoa,Attaccante,2,0
80,G. Fabbian,Fiorentina,Centrocampista,2,0
80,A. Fadera,Sassuolo,Attaccante,2,0
80,M. Felici,Cagliari,Attaccante,2,0
80,F. Conceição,Juventus,Attaccante,2,0
80,G. Gaetano,Cagliari,Centrocampista,2,0
80,O. Gandelman,Lecce,Centrocampista,2,0
80,R. Gosens,Fiorentina,Difensore,2,0
80,M. Guendouzi,Lazio,Centrocampista,2,0
80,R. Idrissi,Cagliari,Difensore,2,0
