transaction_id,timestamp,customer_id,amount,category,hour,distance_from_home,days_since_last,fraud_review_status,is_fraud
0,2024-01-01 00:54:19.902869894,1800,11.93,electronics,0,1.79,30.0,clean,0
1,2024-01-01 01:12:02.594451381,1481,18.1,online,1,6.88,30.0,clean,0
2,2024-01-01 01:29:38.339510035,413,56.48,electronics,1,12.24,30.0,clean,0
3,2024-01-01 01:38:10.364156736,1991,32.34,online,1,9.02,30.0,clean,0
4,2024-01-01 01:38:40.712788090,1985,20.55,gas,1,7.5,30.0,clean,0
5,2024-01-01 01:50:59.404760291,81,13.42,travel,1,3.59,30.0,clean,0
6,2024-01-01 02:22:29.627342018,51,12.02,grocery,2,6.39,30.0,clean,0
7,2024-01-01 02:40:01.874591206,489,29.03,grocery,2,6.86,30.0,clean,0
8,2024-01-01 02:45:04.896934646,1587,251.09,grocery,2,9.26,30.0,clean,0
9,2024-01-01 02:51:04.257028771,1195,58.31,online,2,5.69,30.0,clean,0
10,2024-01-01 02:51:29.867276921,1025,8.73,restaurant,2,6.13,30.0,auto_approved,0
11,2024-01-01 03:01:46.851506104,830,67.17,travel,3,2.26,30.0,clean,0
12,2024-01-01 03:04:27.477355843,959,15.5,electronics,3,4.83,30.0,clean,0
13,2024-01-01 03:08:42.626470361,1275,32.95,electronics,3,3.6,30.0,clean,0
14,2024-01-01 03:33:04.392123464,127,18.38,restaurant,3,2.45,30.0,clean,0
15,2024-01-01 03:42:54.144123148,1172,250.32,electronics,3,23.88,30.0,clean,0
16,2024-01-01 04:41:48.628226439,441,10.65,gas,4,8.02,30.0,auto_approved,0
17,2024-01-01 04:46:58.217172332,1575,45.31,restaurant,4,14.56,30.0,clean,0
18,2024-01-01 04:58:01.111649516,390,16.69,grocery,4,11.6,30.0,clean,0
19,2024-01-01 05:23:58.422749886,141,69.33,grocery,5,9.62,30.0,clean,0
20,2024-01-01 05:33:27.211230784,869,44.41,grocery,5,40.47,30.0,clean,0
21,2024-01-01 06:26:14.602821013,881,116.11,grocery,6,4.76,30.0,clean,0
22,2024-01-01 06:30:16.942924879,1037,67.91,electronics,6,1.4,30.0,clean,0
23,2024-01-01 06:38:57.354179341,1720,60.51,online,6,19.44,30.0,confirmed_fraud,1
24,2024-01-01 06:56:07.635094266,1399,611.68,electronics,6,19.21,30.0,clean,0
25,2024-01-01 06:56:41.368571634,725,57.71,online,6,13.87,30.0,clean,0
26,2024-01-01 07:01:30.459241813,1453,19.09,restaurant,7,7.08,30.0,clean,0
27,2024-01-01 07:08:11.187125615,1007,40.67,gas,7,1.84,30.0,clean,0
28,2024-01-01 07:25:35.033524925,447,62.23,electronics,7,9.89,30.0,clean,0
29,2024-01-01 07:47:49.013470561,43,59.91,grocery,7,1.71,30.0,clean,0
30,2024-01-01 08:16:09.753431021,7,54.38,restaurant,8,5.87,30.0,clean,0
31,2024-01-01 08:48:57.535230915,448,87.05,electronics,8,2.17,30.0,clean,0
32,2024-01-01 09:14:17.337023988,1638,78.9,restaurant,9,1.78,30.0,clean,0
33,2024-01-01 10:01:40.584762055,927,14.19,travel,10,3.6,30.0,clean,0
34,2024-01-01 10:03:55.964141711,903,1357.29,gas,10,163.01,30.0,confirmed_fraud,1
35,2024-01-01 10:24:53.225930268,797,237.2,online,10,7.26,30.0,clean,0
36,2024-01-01 10:43:46.067748772,511,73.77,grocery,10,15.95,30.0,clean,0
37,2024-01-01 11:07:40.732118831,1429,34.42,gas,11,9.22,30.0,clean,0
38,2024-01-01 11:12:54.509679583,25,35.02,grocery,11,42.47,30.0,clean,0
39,2024-01-01 11:21:26.113502017,1223,23.96,restaurant,11,2.08,30.0,clean,0
40,2024-01-01 11:21:51.713561953,1873,27.27,electronics,11,65.76,30.0,clean,0
41,2024-01-01 11:31:44.788206734,1760,3.72,restaurant,11,28.03,30.0,clean,0
42,2024-01-01 11:32:30.845875264,738,152.97,travel,11,51.81,30.0,clean,0
43,2024-01-01 12:10:14.402894525,1709,107.5,online,12,1.07,30.0,clean,0
